セクター,前日比
情報通信・サービス,2.6516145970070886
電機・精密,2.608369300056296
鉄鋼・非鉄,2.091577162238553
機械,1.92114375069809
金融（除く銀行）,0.8465608465608466
不動産,0.6392536281962682
建設・資材,0.6055543954896638
自動車・輸送機,0.398406374501992
銀行,0.357355568790947
素材・化学,0.22271714922048996
運輸・物流,0.022727272727272728
商社・卸売,-0.07075068920930006
電力・ガス,-0.47244094488188976
食品,-0.6159260888693356
小売,-0.7657776604172167
医薬品,-1.3592832869941305
エネルギー資源,-1.6892756590734577
